Include,site,start,end,project,Project Area,Site Area (acres),Project Perc Area,Checked
1,AnaheimBay,1989,1990,Port of Long Beach Mitigation Project,116,"1,040.51",11,X
1,BatiquitosLagoon,1994,1997,Batiquitos Lagoon Enhancement Project,146,539.36,27,X
1,BolsaChica,2004,2007,Bolsa Chica Wetlands Restoration,566,582.43,97,X
1,Carpinteria,2004,2008,"Carpinteria Salt Marsh, Basin 1 Implementation",28,219.45,13,X
1,DevereuxLagoon,2011,2015,Coal Oil Point Reserve Coastal Access and Habitat Restoration: Phase 1 and 2,50,58.27,86,X
1,DevereuxLagoon,2017,2020,Upper Devereux Slough Restoration Implementation,45,58.27,77,X
1,MalibuCreek,2012,2013,Malibu Lagoon Restoration and Enhancement,31,29.75,104,X
1,SanDieguito,2006,2011,San Dieguito Wetlands Restoration Project/Wetland Monitoring Plan for SONGS Mitigation,160,611.81,26,X
1,SanElijo,2017,2020,San Elijo Lagoon Restoration Project,"1,066.00",462.56,230,X
1,SantaAnaWetlands,1987,1990,Marsh Restoration Lower Santa Ana River Channel,12.7,85.3,15,X
1,SweetwaterMarsh,1984,1985,Connector Marsh,26.6,742.01,4,X
1,SweetwaterMarsh,1990,1991,Marisma de Nacion,17.94,742.01,2,X
1,HuntingtonBeachWetlands,1988,1989,Talbert Marsh Restoration,25,156.1,16,X
1,HuntingtonBeachWetlands,2008,2009,Bookhurst Marsh Restoration,16,156.1,10,X
1,HuntingtonBeachWetlands,2009,2010,Magnolia Marsh Restoration,41,156.1,26,X
1,UpperNewportBay,2006,2010,Upper Newport Bay Ecological Restoration Implementation,"1,000.00",816.63,122,
